codice_isolato,agriturismo_strutture,locazione_turistica_strutture,albergo_strutture,aperto_strutture,complementare_strutture,extra_alberghiero_strutture,altro_strutture,agriturismo_letti,locazione_turistica_letti,albergo_letti,aperto_letti,complementare_letti,extra_alberghiero_letti,altro_letti,totale_strutture,totale_letti,data,codice_gruppo,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
270420002,0,10,0,0,4,0,0,0,38,0,0,15,0,0,14,53,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420004,0,20,3,0,10,0,0,0,61,147,0,55,0,0,33,263,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420005,0,1,0,0,3,0,0,0,5,0,0,23,0,0,4,28,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420006,0,2,1,0,3,0,0,0,5,102,0,20,0,0,6,127,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420007,0,0,1,0,0,0,0,0,0,25,0,0,0,0,1,25,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420008,0,0,1,0,0,0,0,0,0,59,0,0,0,0,1,59,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420009,0,9,0,0,0,0,0,0,20,0,0,0,0,0,9,20,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420010,0,10,2,0,7,0,0,0,43,185,0,50,0,0,19,278,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420011,0,0,1,0,0,0,0,0,0,87,0,0,0,0,1,87,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420012,0,0,0,0,3,0,0,0,0,0,0,23,0,0,3,23,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420013,0,5,1,0,2,0,0,0,22,60,0,7,0,0,8,89,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420014,0,0,2,0,6,0,0,0,0,78,0,105,0,0,8,183,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420016,0,6,1,0,1,0,0,0,19,77,0,106,0,0,8,202,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420017,0,2,5,0,5,0,0,0,7,228,0,24,0,0,12,259,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420018,0,0,1,0,0,0,0,0,0,171,0,0,0,0,1,171,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420019,0,9,0,0,4,1,0,0,31,0,0,29,3,0,14,63,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420020,0,2,1,0,3,0,0,0,5,97,0,6,0,0,6,108,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420021,0,0,1,0,0,0,0,0,0,215,0,0,0,0,1,215,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420022,0,0,1,0,1,0,0,0,0,176,0,4,0,0,2,180,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420023,0,0,1,0,0,0,0,0,0,382,0,0,0,0,1,382,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420024,0,0,1,0,0,0,0,0,0,38,0,0,0,0,1,38,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420025,0,30,1,0,6,0,0,0,97,47,0,36,0,0,37,180,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420026,0,4,1,0,2,0,0,0,19,33,0,33,0,0,7,85,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420027,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,4,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420028,0,0,1,0,0,0,0,0,0,132,0,0,0,0,1,132,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420029,0,6,1,0,0,0,0,0,22,56,0,0,0,0,7,78,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420031,0,4,1,0,0,0,0,0,10,43,0,0,0,0,5,53,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420032,0,6,1,0,1,0,0,0,24,170,0,4,0,0,8,198,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420033,0,2,0,0,0,0,0,0,10,0,0,0,0,0,2,10,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420035,0,3,1,0,4,0,0,0,13,351,0,25,0,0,8,389,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420036,0,5,3,0,0,0,0,0,21,101,0,0,0,0,8,122,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420039,0,5,2,0,2,0,0,0,29,92,0,15,0,0,9,136,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420040,0,4,2,0,4,0,0,0,12,67,0,34,0,0,10,113,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420041,0,2,0,0,3,0,0,0,9,0,0,10,0,0,5,19,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420042,0,0,2,0,0,0,0,0,0,215,0,0,0,0,2,215,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420043,0,2,0,0,0,0,0,0,8,0,0,0,0,0,2,8,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420044,0,6,2,0,0,0,0,0,13,155,0,0,0,0,8,168,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420046,0,3,0,0,0,0,0,0,10,0,0,0,0,0,3,10,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420047,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420048,0,8,1,0,0,1,0,0,40,60,0,0,6,0,10,106,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420049,0,6,0,0,1,0,0,0,26,0,0,12,0,0,7,38,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420050,0,7,0,0,0,0,0,0,37,0,0,0,0,0,7,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420051,0,2,0,0,1,0,0,0,12,0,0,5,0,0,3,17,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420052,0,11,0,0,0,0,0,0,38,0,0,0,0,0,11,38,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420053,0,9,1,0,1,0,0,0,42,21,0,15,0,0,11,78,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420054,0,12,1,0,3,0,0,0,45,48,0,24,0,0,16,117,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420055,0,13,0,0,1,0,0,0,32,0,0,5,0,0,14,37,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420056,0,15,0,0,3,0,0,0,53,0,0,26,0,0,18,79,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420058,0,3,0,0,1,0,0,0,10,0,0,9,0,0,4,19,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420061,0,2,0,0,0,0,0,0,10,0,0,0,0,0,2,10,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420062,0,6,0,0,1,0,0,0,22,0,0,7,0,0,7,29,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420063,0,5,0,0,4,0,0,0,20,0,0,78,0,0,9,98,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420064,0,7,0,0,1,0,0,0,23,0,0,4,0,0,8,27,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420065,0,8,1,0,4,0,0,0,38,20,0,105,0,0,13,163,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420066,0,5,0,0,0,0,0,0,13,0,0,0,0,0,5,13,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420067,0,12,0,0,0,1,0,0,48,0,0,0,3,0,13,51,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420068,0,4,0,0,0,0,0,0,11,0,0,0,0,0,4,11,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420069,0,14,0,0,1,1,0,0,75,0,0,4,4,0,16,83,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420070,0,14,0,0,1,0,0,0,40,0,0,2,0,0,15,42,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420071,0,41,1,0,4,0,0,0,142,20,0,39,0,0,46,201,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420072,0,8,0,0,2,0,0,0,19,0,0,8,0,0,10,27,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420073,0,0,1,0,1,0,0,0,0,32,0,14,0,0,2,46,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420074,0,7,0,0,2,0,0,0,31,0,0,12,0,0,9,43,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420075,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,4,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
270420076,0,2,0,0,0,0,0,0,16,0,0,0,0,0,2,16,2018-11-28,1,270425001,1,1,Città d'acqua,San Marco,Venezia - Murano - Burano,"S. Marco, Castello, S. Elena, Cannaregio"
